"Name","Live Bytes","Live Objects"
"org.springframework.core.annotation.AnnotationTypeMappings[]","288,104 B (0.1%)","11,544 (0.2%)"
"org.springframework.core.annotation.MergedAnnotation[]","285,552 B (0.1%)","11,447 (0.2%)"
"org.springframework.core.MethodClassKey","284,952 B (0.1%)","11,873 (0.2%)"
"java.util.HashSet","284,656 B (0.1%)","17,791 (0.3%)"
"org.springframework.core.annotation.MergedAnnotationsCollection","274,728 B (0.1%)","11,447 (0.2%)"
"org.apache.kafka.common.MetricNameTemplate","273,760 B (0.1%)","8,555 (0.1%)"
"java.util.Formatter$FixedString","262,848 B (0.1%)","10,952 (0.2%)"
"java.lang.reflect.Type[]","261,144 B (0.1%)","11,866 (0.2%)"
"org.apache.kafka.common.metrics.stats.CumulativeSum","260,232 B (0.1%)","10,843 (0.2%)"
"java.util.stream.Collectors$$Lambda.0x0000007001452f20","259,848 B (0.1%)","10,827 (0.2%)"
"java.lang.invoke.MethodType","259,240 B (0.1%)","6,481 (0.1%)"
"java.util.LinkedHashMap$LinkedValues","251,304 B (0.1%)","10,471 (0.2%)"
"org.apache.kafka.common.metrics.stats.Rate","246,072 B (0.1%)","10,253 (0.2%)"
"org.apache.kafka.common.metrics.Sensor$$Lambda.0x0000007001a88ee8","246,016 B (0.1%)","15,376 (0.2%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","245,832 B (0.1%)","10,243 (0.2%)"
"java.util.concurrent.locks.ReentrantLock","245,664 B (0.1%)","15,354 (0.2%)"
"java.util.ArrayDeque","245,616 B (0.1%)","10,234 (0.2%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","233,344 B (0.1%)","7,292 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment","232,960 B (0.1%)","5,824 (0.1%)"
"sun.reflect.generics.tree.TypeArgument[]","231,544 B (0.1%)","12,300 (0.2%)"
"java.lang.management.ThreadInfo","231,504 B (0.1%)","2,226 (0%)"
"org.apache.kafka.common.metrics.Sensor[]","223,936 B (0.1%)","13,701 (0.2%)"
"java.lang.ref.ReferenceQueue","221,312 B (0.1%)","6,916 (0.1%)"
"java.util.LinkedHashMap$LinkedKeySet","216,816 B (0.1%)","9,034 (0.1%)"
"jdk.internal.util.WeakReferenceKey","212,480 B (0.1%)","6,640 (0.1%)"
"org.apache.kafka.common.metrics.stats.Avg","212,384 B (0.1%)","6,637 (0.1%)"
"java.lang.ref.WeakReference","189,984 B (0.1%)","5,937 (0.1%)"
"java.lang.Class$ReflectionData","189,504 B (0.1%)","2,961 (0%)"
"org.apache.kafka.common.metrics.stats.Max","189,408 B (0.1%)","5,919 (0.1%)"
"java.lang.ref.SoftReference","184,880 B (0.1%)","4,622 (0.1%)"
"sun.reflect.generics.tree.ClassTypeSignature","184,784 B (0.1%)","11,549 (0.2%)"
"java.util.stream.Collectors$CollectorImpl","180,704 B (0.1%)","5,647 (0.1%)"
"org.apache.kafka.common.metrics.stats.WindowedSum","180,544 B (0.1%)","5,642 (0.1%)"
"java.util.Formatter$FormatSpecifier","175,232 B (0.1%)","5,476 (0.1%)"
"java.util.jar.Attributes","173,904 B (0.1%)","10,869 (0.2%)"
"org.apache.kafka.clients.consumer.internals.Fetch","173,232 B (0.1%)","7,218 (0.1%)"
"io.netty.buffer.PoolSubpage","165,456 B (0.1%)","2,298 (0%)"
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition","165,120 B (0.1%)","860 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LL","162,640 B (0.1%)","4,066 (0.1%)"
"java.lang.invoke.LambdaForm$Name","161,440 B (0.1%)","5,045 (0.1%)"
"long[]","156,888 B (0%)","1,389 (0%)"
"io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache","154,752 B (0%)","4,836 (0.1%)"
"org.apache.kafka.common.metrics.Sensor$$Lambda.0x0000007001a89a68","154,608 B (0%)","9,663 (0.1%)"
"java.lang.invoke.ResolvedMethodName","154,056 B (0%)","6,419 (0.1%)"
"sun.reflect.annotation.AnnotationInvocationHandler","152,808 B (0%)","6,367 (0.1%)"
"java.lang.StringBuilder","152,760 B (0%)","6,365 (0.1%)"
"java.util.concurrent.atomic.AtomicInteger","150,736 B (0%)","9,421 (0.1%)"
"java.lang.reflect.Constructor","149,616 B (0%)","2,078 (0%)"
"java.util.HashMap$KeyIterator","148,128 B (0%)","4,629 (0.1%)"
"org.apache.kafka.common.metrics.stats.WindowedCount","147,552 B (0%)","4,611 (0.1%)"
"javax.management.ObjectName$Property","146,928 B (0%)","6,122 (0.1%)"
"java.util.concurrent.ConcurrentLinkedDeque$Node","144,816 B (0%)","6,034 (0.1%)"
"java.util.WeakHashMap$Entry[]","142,336 B (0%)","878 (0%)"
"javax.management.openmbean.CompositeDataSupport","140,640 B (0%)","5,860 (0.1%)"
"javax.management.ObjectName$Property[]","139,832 B (0%)","5,270 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager","139,776 B (0%)","5,824 (0.1%)"
"java.io.SerialCallbackContext","138,768 B (0%)","5,782 (0.1%)"
"org.apache.kafka.common.utils.LogContext$LocationAwareKafkaLogger","138,024 B (0%)","5,751 (0.1%)"
"javax.management.openmbean.CompositeData[]","133,520 B (0%)","6,680 (0.1%)"
"org.apache.kafka.clients.ClusterConnectionStates$$Lambda.0x0000007001b08c50","131,424 B (0%)","5,476 (0.1%)"
"java.util.Formatter","131,424 B (0%)","5,476 (0.1%)"
"java.util.concurrent.ConcurrentLinkedQueue$CLQSpliterator","115,488 B (0%)","3,609 (0.1%)"
"sun.reflect.generics.tree.FieldTypeSignature[]","113,256 B (0%)","5,576 (0.1%)"
